,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,W240C,W220P,W260C,W000P,M240C,M220P,M260C,M200P,WS200,WS400,MS200,MS400
884,HK.999010,2022-01-04 21:05:00,23342.0,23344.0,23346.0,23338.0,53,1237080.0,0.0,0.0,23341.0,117.0,82.0,46.0,44.0,364.0,347.0,281.0,274.0,199.0,90.0,711.0,555.0
885,HK.999010,2022-01-04 21:10:00,23344.0,23335.0,23346.0,23335.0,106,2474040.0,0.0,0.0,23344.0,117.0,93.0,46.0,44.0,364.0,347.0,281.0,274.0,210.0,90.0,711.0,555.0
886,HK.999010,2022-01-04 21:15:00,23336.0,23349.0,23351.0,23336.0,113,2637962.0,0.0,0.0,23335.0,120.0,93.0,54.0,44.0,364.0,347.0,290.0,274.0,213.0,98.0,711.0,564.0
887,HK.999010,2022-01-04 21:20:00,23350.0,23349.0,23353.0,23341.0,114,2661466.0,0.0,0.0,23349.0,120.0,93.0,54.0,44.0,380.0,347.0,290.0,274.0,213.0,98.0,727.0,564.0
888,HK.999010,2022-01-04 21:25:00,23349.0,23355.0,23357.0,23349.0,101,2358747.0,0.0,0.0,23349.0,125.0,88.0,56.0,44.0,380.0,347.0,290.0,274.0,213.0,100.0,727.0,564.0
889,HK.999010,2022-01-04 21:30:00,23355.0,23357.0,23358.0,23354.0,57,1331293.0,0.0,0.0,23355.0,125.0,86.0,56.0,44.0,380.0,347.0,290.0,274.0,211.0,100.0,727.0,564.0
890,HK.999010,2022-01-04 21:35:00,23357.0,23346.0,23358.0,23343.0,100,2334908.0,0.0,0.0,23357.0,125.0,90.0,54.0,44.0,380.0,347.0,290.0,274.0,215.0,98.0,727.0,564.0
891,HK.999010,2022-01-04 21:40:00,23347.0,23349.0,23350.0,23341.0,48,1120559.0,0.0,0.0,23346.0,125.0,90.0,53.0,44.0,380.0,347.0,290.0,274.0,215.0,97.0,727.0,564.0
892,HK.999010,2022-01-04 21:45:00,23350.0,23354.0,23356.0,23350.0,56,1307757.0,0.0,0.0,23349.0,125.0,90.0,54.0,42.0,380.0,347.0,291.0,274.0,215.0,96.0,727.0,565.0
893,HK.999010,2022-01-04 21:50:00,23354.0,23359.0,23359.0,23350.0,62,1447959.0,0.0,0.0,23354.0,125.0,90.0,58.0,41.0,380.0,347.0,293.0,270.0,215.0,99.0,727.0,563.0
894,HK.999010,2022-01-04 21:55:00,23360.0,23358.0,23362.0,23356.0,94,2195709.0,0.0,0.0,23359.0,125.0,90.0,58.0,40.0,384.0,347.0,293.0,270.0,215.0,98.0,731.0,563.0
895,HK.999010,2022-01-04 22:00:00,23356.0,23365.0,23365.0,23350.0,107,2499285.0,0.0,0.0,23358.0,125.0,90.0,56.0,41.0,384.0,347.0,293.0,270.0,215.0,97.0,731.0,563.0
896,HK.999010,2022-01-04 22:05:00,23364.0,23356.0,23371.0,23354.0,166,3878536.0,0.0,0.0,23365.0,125.0,90.0,56.0,39.0,386.0,347.0,296.0,270.0,215.0,95.0,733.0,566.0
897,HK.999010,2022-01-04 22:10:00,23356.0,23366.0,23368.0,23356.0,81,1892412.0,0.0,0.0,23356.0,125.0,90.0,56.0,39.0,386.0,347.0,297.0,270.0,215.0,95.0,733.0,567.0
898,HK.999010,2022-01-04 22:15:00,23365.0,23370.0,23378.0,23364.0,121,2827776.0,0.0,0.0,23366.0,130.0,90.0,59.0,38.0,386.0,347.0,300.0,265.0,220.0,97.0,733.0,565.0
899,HK.999010,2022-01-04 22:20:00,23369.0,23367.0,23373.0,23366.0,51,1191796.0,0.0,0.0,23370.0,130.0,90.0,59.0,38.0,386.0,336.0,300.0,265.0,220.0,97.0,722.0,565.0
900,HK.999010,2022-01-04 22:25:00,23367.0,23374.0,23376.0,23361.0,117,2734142.0,0.0,0.0,23367.0,130.0,90.0,59.0,38.0,386.0,336.0,300.0,265.0,220.0,97.0,722.0,565.0
901,HK.999010,2022-01-04 22:30:00,23375.0,23379.0,23379.0,23367.0,128,2991756.0,0.0,0.0,23374.0,133.0,90.0,59.0,38.0,393.0,335.0,300.0,265.0,223.0,97.0,728.0,565.0
902,HK.999010,2022-01-04 22:35:00,23378.0,23338.0,23378.0,23307.0,1081,25227817.0,0.0,0.0,23379.0,112.0,91.0,51.0,45.0,393.0,347.0,295.0,276.0,203.0,96.0,740.0,571.0
903,HK.999010,2022-01-04 22:40:00,23337.0,23363.0,23374.0,23325.0,604,14102330.0,0.0,0.0,23338.0,120.0,86.0,55.0,45.0,393.0,338.0,295.0,276.0,206.0,100.0,731.0,571.0
904,HK.999010,2022-01-04 22:45:00,23360.0,23356.0,23390.0,23351.0,467,10914415.0,0.0,0.0,23363.0,138.0,83.0,55.0,40.0,393.0,338.0,294.0,259.0,221.0,95.0,731.0,553.0
905,HK.999010,2022-01-04 22:50:00,23355.0,23387.0,23393.0,23346.0,488,11406838.0,0.0,0.0,23356.0,132.0,74.0,59.0,36.0,393.0,338.0,294.0,260.0,206.0,95.0,731.0,554.0
906,HK.999010,2022-01-04 22:55:00,23386.0,23357.0,23386.0,23345.0,417,9741278.0,0.0,0.0,23387.0,119.0,74.0,59.0,36.0,393.0,340.0,290.0,271.0,193.0,95.0,733.0,561.0
907,HK.999010,2022-01-04 23:00:00,23354.0,23346.0,23369.0,23345.0,203,4741072.0,0.0,0.0,23357.0,119.0,88.0,59.0,36.0,389.0,341.0,290.0,271.0,207.0,95.0,730.0,561.0
908,HK.999010,2022-01-04 23:05:00,23350.0,23308.0,23355.0,23303.0,734,17117401.0,0.0,0.0,23346.0,105.0,100.0,52.0,50.0,360.0,347.0,290.0,286.0,205.0,102.0,707.0,576.0
909,HK.999010,2022-01-04 23:10:00,23306.0,23328.0,23330.0,23299.0,433,10093935.0,0.0,0.0,23308.0,105.0,94.0,52.0,49.0,358.0,347.0,277.0,286.0,199.0,101.0,705.0,563.0
910,HK.999010,2022-01-04 23:15:00,23327.0,23328.0,23333.0,23320.0,262,6111364.0,0.0,0.0,23328.0,108.0,94.0,52.0,46.0,358.0,350.0,277.0,286.0,202.0,98.0,708.0,563.0
911,HK.999010,2022-01-04 23:20:00,23326.0,23295.0,23330.0,23291.0,397,9252155.0,0.0,0.0,23328.0,101.0,104.0,40.0,52.0,358.0,359.0,265.0,286.0,205.0,92.0,717.0,551.0
